question,option_0,option_1,option_2,option_3,answer,remark
项目经理正在开展与IT系统开发相关的项目。负责安装服务器的一位团队成员询问项目经理是否可以订购具有比原计划更快处理器的服务器。这款服务器来自同一制造商，成本大致相同。主题专家(SME)分析并确定已遵循纠正措施和变更管理程序。项目经理下一步应该怎么做？A project manager is working on a project related to IT system development.A team member responsible for installing a server asks the project manager if it is acceptable to order a server with a faster processor than planned.The server is from the same manufacturer and costs approximately the same.Subject matter experts (SME) analyzed and determined corrective actions and change management procedures were followed. What should the project manager do next?,"更新问题日志，变更请求和工作绩效数据 Update the issue log, change request, and work performance data","批准变更请求，更新项目管理计划并评估事业环境因素 Approve the change request, update the project management plan, and assess the enterprise environmental factors","更新项目文件、项目管理计划和工作绩效报告 Update the project documents, project management plan, and work performance reports","与相关方沟通、更新变更日志并执行变更 Communicate with the stakeholders, update the change log, and execute the change",D,PMBOK(6)P113-4.6 实施整体变更控制。已经遵循的变更控制程序，说明已经批准了，接下来是批准以后的动作，更新项目文件和计划、通知相关方、执行变更。 其他选项：C没必要更新工作绩效报告。A非正常变更程序。B，已经批准，没必要再次批准。
你的敏捷团队正在召开第一次冲刺计划会议。他们正在讨论使用适当的工具和技术识别风险。以下工具和技术不合适的是:Your Agile team is having its first sprint planning meeting. They are discussing the use of appropriate tools and techniques to identify risks. The following tools and techniques are all appropriate except:,根本原因分析 Root cause analysis,清单 Checklists,提示列表 Prompt lists,系统交互图Context diagrams,D,PMBOK（6）409-识别风险的工具技术。题目考察识别风险的工具技术，选项ABC都是其中的工具技术，而系统交互图是范围模型的一个例子，它对产品范围的可视化描绘，显示业务系统（过程、设备、计算机系统等）及其与人和其他系统（行动者）之间的交互方式，它是收集需求的工具。
"你欢迎Peter加入你的敏捷团队。他是一位经验丰富的软件工程师，曾参与过许多政府项目。由于工作的性质，他一直是庞大且有活力的团队中的一员，一直在按顺序完成任务。由于这是他的第一个敏捷项目，你向他解释了在预测型项目中工作的团队与在敏捷项目中工作的团队之间的主要区别。你该怎么解释?You welcome Peter to your agile team. He is a highly experienced software engineer who has been working on many government projects. Due to the nature of the work, he has been part of big and robust teams who have been working sequentially on completing the tasks. As this is his first Agile project, you explain to him the main difference between teams working in predictive projects and teams working in Agile projects. What do you say?",敏捷团队非常团结 Strong team unity in Agile teams,敏捷团队中的冲突更少 Reduced conflicts in Agile teams,敏捷团队的项目管理方式更好 Better project management in Agile teams,敏捷团队是自我组织团队 Self-organizing teams in Agile teams,D,"《敏捷实践指南》第101页。敏捷项目中，开发团队是一个跨职能自组织团队，其开发成员拥有所需的一切资源，可在不依赖团队外部其他资源的情况下交付工作产品。他们协同工作,以确定如何最好地满足产品负责人的目标，选项D正确。无论是预测型项目还是敏捷项目，团队都会经历从形成到成熟的阶段，都同样存在冲突，选项A和B不正确。在选择项目管理方式时，需要综合考虑项目的具体情况，管理方式的选择要符合项目需要，合适的才是最好的，选项C不正确。"
"为了帮忙做出关键决策，客户希望更频繁地收到技术项目更新，项目经理应该怎么做？To assist with critical decisions making, the customer would like to receive more frequent technical project updates. What should the project manager do?",邀请所有技术负责人和客户参加项目更新会议 Invite all technical leaders and customers to participate in project update meetings,将该请求上报给项目发起人 Escalate the request to the project sponsor,遵循沟通管理计划 Follow the communications management plan,要求每位技术负责人向客户发送报告 Ask each technical leader to send the reports to the customer,C,PMBOK（6）P379-10.2管理沟通。确保项目信息及时且恰当地收集、生成、发布、存储、检索、管理、监督和最终处置。 选项ABD：以什么样的方式传递信息，要遵循沟通管理计划。
"一个项目相关方对某些可交付成果的质量颇有微词。项目经理认为,这些可交付成果符合项目的质量标准。项目经理应使用什么工具或技术来支持这一点?A project stakeholder complains about the quality of deliverables.The project manager believes that these deliverables meet the project's quality standards. What tool or technique should the project manager use to support this?",散点图 Scatter diagrams.,因果图 Cause-and-effected diagrams.,控制图 Control charts.,直方图 Histograms.,C,PMBOK(6)P338- 8.3.2.5控制图。控制图用于确定一个过程是否稳定，或者是否具有可预测的绩效。规格上限和下限是根据要求制定的，反映了可允许的最大值和最小值。规格上下限就是可交付成果的量化的数据，可以和质量标准比较。 其他选项：控制图能够量化某些参数的规格，ABD没有这个功能。
"一个项目刚刚完成启动阶段，项目经理正在开始该项目的需求收集过程。相关方都位于同一地点，但来自优先级有冲突的不同部门。之前的项目经理经常被要求在执行阶段包含新的范围，导致项目预算的计划外增加并延长商定的进度计划。在满足所有相关方需求的同时，项目经理应该如何及时收集需求？A project manager is beginning the requirements gathering process lot a project that has just completed the initiation phase. Project stakeholders are all in the same location but come from different departments with conflicting priorities. Previous project managers have often been required to include new scope during the execution phase, causing unplanned increase to the project budget and delaying the upon schedule, what should the project manager do to gather the requirements in a timely manner while meeting the needs of all stakeholders?",与所有相关方一起召开需求收集会议，以记录初始范围，然后将其分解为可完成的小部分可管理工作 Conduct a requirements gathering session with all stakeholders to document the initial scope and then break it into smaller pieces of manageable work that can be completed,"与所有项目相关方一起召开需求收集会议，以记录全部需求，然后关闭项目工作说明书 (SOW)并拒绝任何新需求 Conduct a requirements gathering session with all stakeholders to document full requirements, then close the statement of work (SOW) and reject any new requirements","分别与最重要的相关方开会进行需求收集，然后仅在工作说明书中更新这些相关方的新需求 Individually Meet with the most important stakeholders for requirements gathering , then update the SOW with new requirements only from these stakeholders","单独与所有相关方开会以记录范围，然后通过变更请求过程处理任何其他高优先级需求 individually meet with all stakeholders to document the scope, and then handle any additional high-priority requirements through the change request process",A,PMBOK(6) p138-5.2收集需求。 收集需求一定要全面的收集所有相关方的需求，不然后面会面临着大量的变更。 其他选项：B，拒绝新需求不对。CD不全面
"项目发起人通知项目经理，即使已完成的项目符合进度计划，在预算范围满足范围需求，但客户对最终产品感到不满意。若要避免这种情况，项目经理应该事先做什么？The project sponsor informs a project manager that even though a completed project was on schedule, within budget, and met scope requirements, the customer is unsatisfied with the final product. What should the project manager have done to avoid this?",在制定质量管理计划的同时安排更多的会议 Scheduled more meetings while developing a quality management plan.,确保可交付成果符合质量控制测量结果中列出的要求 Ensure that deliverables meet the requirements listed in the quality control measurements.,实施石川图工具 Implement the Ishikawa diagram tool.,完成需求跟踪矩阵 Complete the requirements traceability matrix.,D,PMBOK（6）P148-5.2.3.2需求跟踪矩阵。客户是对最终产品不满意，而不是对产品质量不满意，最终产品的实现效果偏离了用户的预期，选D不选B。 选项A：问题出在了需求管理上，而不是质量管理。 选项C：题干强调“事先”应该做什么，而不是出现了问题怎么分析。
项目团队分布在不同的地理位置，项目经理安排召开一次虚拟发布规划会议，当来自某个特定地区的所有团队成员全部缺席电话会议时，项目经理感到非常惊讶，若要避免这个问题，项目经理应该事先做什么？A Project manager of a geographically distributed team schedules a virtual release planning meeting. The project manager is surprised when all team members from a specific region are absent from the call. What should the project manager have done to avoid this?,提前更早安排会议 Scheduled the meetings farther in advance,强制要求参加会议 Required Mandatory participation in the meeting,在安排会议之前确认团队成员是否有空参加 Checked the availability of team members before scheduling the meeting,用本地团队成员替换全球资源 Replace global resources with local team members,C,PMBOK（6）P376-10.1.2.8。所有的团队成员都缺席会议，抵制会议的可能性极小，最大的可能性是会议通知传递有误，所以首先分析是否沟通出现问题。 选项ABD：如果会议通知没有准确送达，提前开会还是强制开会，还是换本地成员开会，依然是空无一人，赶紧检查会议通知发送流程吧。
一位相关方经常错过计划每两周举行一次的相关方会议。项目经理首先应该怎么做？One stakeholder regularly misses scheduled biweekly Stakeholder meeting. What should the project manager do first?,"开始记录每两周举行一次的会议，并与所有预期的与会者分享记录 Start recording the biweekly meetings , and share the recordings with all the intended attendees.",请项目发起人与该相关方进行交涉 Ask the project sponsor to intervene with the stakeholder.,与该相关方会面，讨论其未能参加会议的问题 Meet with the stakeholder to discuss his failure to attend meetings.,审查相关方参与评估矩阵，以了解该相关方的参与程度 Review the stakeholder engagement assessment matrix to understand the engagement level of the stakeholder.,D,PMBOK(6)P521- 13.2.2.5 相关方参与度评估矩阵。 按照处理问题的思维来看，处理的顺序应该是先D后C，AB都在后面。发现了相关方的问题，先看一下他对项目的参与程度，心里有数以后，当面和他沟通，然后再采取改善措施。
"项目经理聘请一位资源开发一个网站。该资源在没有完成工作的情况下突然离职，项目经理必须聘请另一位资源来完成这项工作，新聘请的资源更改网络设计，覆盖了原有设计。应如何描述与第一位资源工作相关的成本？A project manager hires resource to develop website.The resource abruptly quits without completing the work,and the project manager must hire another resource to complete the jo The newly hired resource changes the website’s design,which overrides the original design. How should the cost associated with the first resourced work be described?",间接成本 Indirect cost,直接成本 Direct cost,沉没成本 Sunk cost,可变成本 Variable cost,C,经济学术语 沉没成本指已经付出的不可回收的费用。理性的人做决策不会考虑沉没成本。题干中明确说明了离职员工的工作被完全覆盖，因此未产生任何价值，也不可回收，因此是沉没成本。 其他选项：B，直接成本，直接用于产品项目的成本。A，间接成本，不直接构成产品项目的成本。D，可变成本，随着产量变动的成本。
"用于在开发过程中进行产品测试的一个供应商技术正在被逐步淘汰，如果需要，项目委员会同意提供额外的时间和资金进行测试。项目经理应该如何处理这个风险？A supplier’s technology for product testing during development is being phased out, the project board agrees to grant additional time and funds to conduct testing if require How should the project manager handle this risk?",通过从范围中删除测试来规避风险 Avoid the risk by removing testing from the scope,通过将测试活动外包给合格供应商来转移风险 Transfer the risk by outsourcing testing activities to a qualified vendor,使用另一种测试技术来减轻风险 Mitigate the risk by Using another testing technique,通过使用淘汰的技术进行测试来接受风险 Accept the risks by using the phased-out technology for testing,C,PMBOK（6）P442-11.5.2.4威胁应对策略。风险已经出现，规避已经不可能了，先尝试减轻风险的影响。情景中没有提到有可用的第三方，不建议选B。选项A：注意，这里淘汰的并不是测试这个步骤，而是实施测试的供应商。在已经同意提供额外的时间和资金进行测试的情况下，删除测试以规避风险不恰当。选项D：淘汰的技术，面临的风险更大。
"重要材料需要运输供应商。如果该材料不能按时交付，项目预算将严重受到影响。为降低这个风险，项目经理购买了保险。项目经理采用了哪一种消极风险策略？Important materials require transportation suppliers. If these materials are not delivered on time, the project budget will be severely affect To reduce this risk, the project manager has subscribed insurance. Which negative risk strategy does the project manager use?",规避 Avoidance,接受 Acceptance,减轻 Mitigation,转移 Transfer,D,PMBOK(6)P442- 11.5.2.4威胁应对策略-转移。买保险就是转移。
"一个项目需要工程部门的专业技术知识。但是,高级工程师正在领导另一个单独项目的团队,唯一可用的资源是一位初级工程师。高级工程师受到客户的高度推崇,也受到项目经理的青睐。项目经理首先应该做什么才能让高级工程师参与这个项目?A project requires specialized technical expertise from the engineering department.However,the senior engineer is leading a team on separate project,and the only available resource is an entry-level engineer.The senior engineer is highly regarded by the customer and the preferred by the project manager. What should the project manager do first to obtain the senior engineer's participation in this project?","使用高级工程师的师资拟定工作描述,以聘请一位资质相当的高级工程师 Develop a job description using the senior engineer's qualifications to hire a comparable senior engineer.",立即要求项目发起人升级上报这项资源要求 Immediately ask the project sponsor to escalate this resource requirement.,"与工程部门经理开会,讨论可让高级工程师参与的方案 Meet with the engineering department manager to discuss options for making the senior.","要求分配高级工程师,以提高客户对交付优质产品的信息 Demand that the senior engineer is assigned to increase customer confidence in the delivery of a quality product.",C,PMBOK（6）P328-9.3获取资源。因为集体劳资协议、分包商人员使用、矩阵型项目环境、内外部报告关系或其他原因，项目管理团队可能不对资源选择有直接控制权。内部资源由职能经理或资源经理负责获 取或分配。资源被占用，首先尝试与职能部门经理谈判协商让出资源。 选项A：如果协商无果且无其他替代资源时再启动招募，人员的招募需要时间成本和财务成本，在A之后。 选项B：如果职能部门经理拒绝提供资源时，由发起人干预，在C之后。
"一个项目遇到困难,且项目状态报告到期。但是，项目发起人正在休假。项目经理应该做什么?A project is experiencing difficulties and the project status report is due.However,the project sponsor is on leave.What should the project manager do?",要求团队成员直接将项目进度传达给他们的业务联系人 Ask team members to directly communicate the project's progress to theirbusiness contact,"将状态报告发送到项目管理办公室(PMO),并要求PMO经理分发摘要 Send the status report to the project management office(PMO),and ask the PMO manager to distribute a summary.",按计划发送状态报告 Send the status report as planned,"暂停分发状态报告,直到项目发起人休假回来 Hold distribution of the status report until the project sponsor returns.",C,PMBOK（6）P377-10.1.3.1沟通管理计划，沟通管理计划中包括：需沟通的信息、上报步骤、项目信息流向图等。项目状态报告根据沟通管理计划进行发布即可，不受限于项目发起人休假。 选项AB：既然有沟通管理计划，不遵循计划传递信息是错误的。
"在每周一次的项目会议上，一位团队成员表示在修订一项可交付成果时，一名销售经理对客户服务过程做出一项重要评论，影响到整个项目。项目经理对销售经理参与项目可交付成果感到吃惊。若要预防这个问题，项目经理应该事先做什么？During a weekly project meeting, a team member states that during a deliverable revision, a sales manager made an important remark regarding a customer care process that impacts the entire project. The project manager Is surprised that the sales manager is involved in the project deliverables. What should the project manager have done to prevent this?",完善风险审查会议，制定风险登记册 Improved the risk review meetings and developed the risk register.,执行相关方分析，并制定相关方参与计划 Performed a stakeholder analysis and developed the stakeholder engagement plan.,将职能团队过程包含进问题日志中，并制定预防措施 Included functional team processes in the issue log and developed preventive.actions.,识别项目范围并通知相关方 Identified the scope of the project and informed the stakeholders,B,PMBOK（6）P507-13.1识别相关方。识别相关方是定期识别项目相关方，分析和记录他们的利益、参与度、相互依赖性、影响力和对项目成功的潜在影响的过程。销售经理做为项目相关方，没有被识别出来，相关方管理存在疏漏。 选项A：管理相关方参与的过程中，如果暴露出来的问题有引发风险的可能，要将其视为风险进行管理，在选项B之后。 选项C：“事先应该做什么”，而不是问题暴露出来以后应该做什么。 选项D：相关方的真实诉求不一定是对可交付成果不满，要对相关方分析，挖掘相关方的核心诉求。
一个关键的项目决策需要所有相关方的支持。项目经理现在得知之前未识别到一名关键相关方。 项目经理应该做什么来防止这个问题成为项目进展和成功的障碍？A key project decision requires the support of all stakeholders. The project manager now learns that one key stakeholder was not previously identified. What should the project manager do to prevent this from being an obstacle to the project's progress and success?,审查相关方登记册 Review the stakeholder register.,与项目发起人会面 Meet with the project sponsor.,更新相关方参与评估矩阵 Update the stakeholder engagement assessment matrix.,定期及时审查沟通策略 Conduct regular and timely reviews of the communication strategy.,C,PMBOK(6)P534-13.4.2.3 相关方参与评估矩阵。识别到一个新的相关方，需要更新他的基础信息，包括相关方登记册与相关方参与计划中的所有内容。C属于相关方参与计划制定的工具。排除法选C其他选项：A，应该是更新而不是审查相关方登记册。B，属于升级上报问题（没办法的办法，优先级低）；D，不是沟通管理的问题，排除。
财务部门正在实施一个预算规划和预测的新系统。关于新系统如何令部门更加分散和效率低下的传言正在流传。项目经理应该如何处理这个问题？A finance department is implementing a new system for budget planning and forecasting. Rumors are circulating about how the new system will make the department more fragmented and less efficient. How should the project manager handle this ?,更新沟通管理计划，以在系统开发期间包含财务部门员工 Update the communication management plan to include the financial department employees during system development,确保组织变更在变更管理计划中得到说明，并以可接受的速度引入 Ensure that organizational changes are addressed in the change management plan and introduced at an acceptable rate,与财务部门员工一起审查变更管理计划，以确保正确记录过程变更 Review the change management plan with the finance department employees to ensure that process changes are documented correctly,向财务部门保证变更管理计划将考虑他们的担心 Assure the finance department that the change management plan will incorporate their concerns,A,PMBOK（6）P388-10.3监督沟通。信息的传递面临着新挑战，需要将财务部门纳入沟通管理计划。“谣言止于公开”。 选项BCD：信息传递导致了问题的发生，而不是变更管理出现了疏漏。
"项目经理正在执行一个涉及不同业务部门的全公司项目。在一次规划会议上，项目经理注意到每个部门的具体需求不能引起其他部门的兴趣，这影响到会议的质量。 若要解决这个问题，项目经理应该怎么做？A project manager is running a company-wide project involving different business units.During a planning session, the project manager notices that each unit's specific requirements are of no interest to other units, which affects the quality of the meeting. What should the project manager use to resolve specific this?",石川图和需求跟踪矩阵 ishikawa diagram and requirements traceability matrix,焦点小组会议和思维导图 Focus groups and mind mapping,引导和亲和图 Facilitation and affinity diagram,头脑风暴和需求跟踪矩阵 Brainstorming and requirements traceability matrix,C,PMBOK（6）P144-5.2.2.5数据表现-亲和图，用来对大量创意进行分组的技术，以便进一步审查和分析。PMBOK（6）P145-5.2.2.6人际关系与团队技能-引导。规划会议不能引起其他部门的兴趣 ，PM应该以什么办法来协调各不同部门间的需求？这个时候可以使用亲和图和引导技术，引导与研讨会结合，研讨会可用于快速定义跨职能需求并协调相关方的需求差异。选项A：通常用于分析问题原因和记录需求。选项BD：部门之间的观点已经出现了分歧，此时再使用头脑风暴更无法达成共识。
"一家组织正在一个新兴市场启动一个项目。这个市场的法规将在项目的生命周期中快速而持续地发生变化,项目发起人要求项目经理提供预算估测。 项目经理应使用什么工具或技术来提供预算预测?An organization is kick-starting a project in an emerging market where regulation will rapidly and continuously change during its life cycle.The project sponsor asks the project manager for a budget forecast. What tools and techniques should the project manager use to provide this?",鱼骨图 Fish bone diagram.,三点估算 Three-point estimating.,备选方案分析 Alternatives analysis.,蒙特卡洛分析 Morite Cario analysis.,B,PMBOK(6)P244- 7.2.2.5 三点估算。本题考查的是估算的方法，只有B三点估算是成本估算的方法。三点估算主要针对风险的估算，题干中也提到了各种不确定性。其它选项：A：鱼骨即是根本原因分析，是解决问题用的；C/D是针对风险管理的工具也不对
开发一款银行零售业务新产品的项目正在进行中，由于团队成员缺乏激励，该项目落后于进度。 项目经理应该如何激励项目团队？A project to develop a new retail banking：product is in progress. The project has fallen behind schedule because team members do to motivate the project team? What should the project manager motivate the project team?,提供认可与奖励 Offer recognition and rewards,使用教练和指导技能 Use coaching and coaching skills,授权 Delegate the responsibilities,应用创造性的问题解决方法 Apply creative problem solving,A,PMBOK(6)P341- 9.4.2.5认可与奖励。 认可与奖励。只有A是激励的工具与技术， 其他选项：BCD非激励动作。
"一家农业设备制造商因一个缺陷部件而召回数千个产品。这个问题导致许多客户不满, 公司花费500万美元来修理和更换零件。哪一种成本预算类型可以防止这个问题？An agricultural equipment manufacturer recalls several thousand products due to a defective part.This issue results in many unhappy customers,and the company spends US$5 million to repair and replace the part. What type of cost budgeting would have prevented this issue?",非一致性成本 Cost of non-conformance,一致性成本 Cost of conformance,矩阵图 Matrix diagrams,多标准决策分析 Multicriteria decision analysis,B,PMBOK(6）P283-8.1.2.3规划质量管理-质量成本题目中，一个缺陷部件导致公司需要花费百万来修理，这里的成本是非一致性成本，但是注意题干问得是如何防止发生这样的非一致性成本，因此不选A。而选择一致性成本，一致性成本的概念就是花钱来规避失败。其他选项：CD不属于质量成本的概念。
项目经理加入一个备受瞩目的项目，该项目将为公司带来重大效益，项目发起人告诉项目经理，一些关键相关方不赞同项目的效益，并且可能抵制该项目的工作。项目经理该怎么做？A project manager joins a high-profile project that will create significant benefits for the company .The project sponsor tells the project manager that some key stakeholders disagree on the project's benefits and may be resistant to working on it.What should the project manager do ?,制定责任分配矩阵(RAM) Develop a responsibility assignment matrix(RAM).,要求发起人获得相关方的支持 Ask the sponsor to obtain support from the stakeholders.,与相关方开会展示该项目 Meet with stakeholders to present the project.,更新相关方登记册，添加这项信息 Update the stakeholder register with this information,D,PMBOK（6）P530-13.4监督相关方参与。首先识别这些关键项目相关方，将其更新到相关方登记册中，接下来展开相关方分析，根据分析的结果来制定相关方管理策略。 选项A：资源管理领域，相关方是否参与项目，在情景中没有交代。 选项B：相关方管理是项目经理的责任。 选项C：会议是识别相关方的工具。以什么样的方式对相关方管理，要根据相关方分析的结果。
"项目需要一位熟练的工程师来执行某个特定任务，但由于工作量大，该工程师不能参与这个项目。 项目经理下一步应该怎么做？A project requires a skilled engineer to perform a specific task.However?due to high workloads,the engineer cannot participate in the project. What should the project manager do next?",修改进度计划，以适应该资源 Modify the schedule to accommodate the resource.,与职能经理协商该资源的参与 Negotiate with the fictional manager for the resource's participation.,培训项目团队中的某个成员来执行所需的活动 Train someone on the project team to perform the needed activity.,要求发起人提供更多的时间来寻找其他资源来执行任务 Ask the sponsor for more time to find another resource to perform the task.,B,PMBOK(6)P332- 9.3.2.2人际关系与团队技能-谈判。获取资源，优先进行谈判。 其他选项：本题是获取资源的过程，优先采用谈判。因此ACD都是谈判无果的情况下再采取的行动。
"一个施工项目正在开始，可用的信息表明天气恶劣可能性很低。然而，在执行期间，新的天气数据却显示恶劣天气将影响项目的可能性很大。 哪份文件应更新？A construction project is starting, and the available information indicates that the weather is very unlikely to get severe. However, during the implementation process, the updated weather data shows that severe weather is likely to have a high impact on the project. Which document should be updated?",风险概率和影响评估 Risk Probability and Impact Assessment,风险登记册 Risk Register,风险紧迫性评估 Risk Urgency Assessment,风险审计 Risk Audit,B,PMBOK(6)P458- 11.7.3.4项目文件更新。风险的概率发生了变化，首先将这种变化纳入到风险登记册中，然后再考虑应对措施。 其他选项：ACD都是工具，分析的结果最终也都要纳入风险登记册中
"你是一款新的汽车应用程序的Scrum主管，该应用程序可检测汽车故障并将其报告给服务中心。在下一个冲刺开始之前，产品负责人希望编写一份清单，列出团队在当前冲刺结束时需要完成的工作类型。满足此标准意味着该工作是可交付的。此外，此清单应作为验收标准，适用于此冲刺中的产品待办事项。产品负责人试图确定什么内容?You’re a scrum master for a new automotive app that detects car faults and report them back to the service center. Before the start of the next sprint, the product owner wants to write a checklist of the types of work that the team is expected to complete by the end of the current sprint. Meeting this criterion means that the work is potentially shippable. Besides, this checklist should serve as an acceptance criterion that applies product backlog items within this sprint. What is the product owner trying to define?",冲刺目标 Sprint Goal,准备就绪(DoR)的定义 Definition of Ready (DoR),完成的定义(DoD) Definition of Done (DoD),项目退出标准 Project Exit Criteria,C,敏捷实践指南，P151完成的定义(DoD)是团队需要满足的所有标准的核对单，只有可交付成果满足该核对单才能视为准备就绪可供客户使用。从题目当中的关键字“编写一份清单”“作为标准”可得出，此处负责人想要确定的是完成的定义(DoD)。
"在项目启动阶段，项目发起人向项目经理询问已识别的风险情况。项目经理应参考下列哪一项？During a project’s initiation phase, the sponsor asks the project manager about identified risks. What should the project manager reference?",项目章程 Project charter,规划风险管理过程 Plan Risk Management process,风险登记册 Risk register,控制风险过程 Control Risks process,A,PMBOK（6）P75-4.1制定项目章程。项目启动阶段，还没有进入到规划阶段，此时项目面临的高层次风险记录在项目章程中。 选项BC：规划过程组 选项D：监控过程
"你的公司正在经历一些战略变革。高层领导希望采用敏捷生命周期来管理项目。但是，公司员工尚未完全做好适应的准备。领导层已根据你将要进行的分析，将决定权留给你。在当前情况下，你认为哪种类型的生命周期最好？Your organization is going through some strategic changes. Senior leadership wants to adopt agile life cycle to manage the projects. However, the workforce is not fully ready to adapt it. Leadership has left the decision on you based on the analysis you will be conduct. What approach as per you would be best in current scenario?",预测型生命周期 Predictive Life Cycle,敏捷型生命周期 Agile Life Cycle,增量型生命周期 Incremental Life Cycle,混合型生命周期 Hybrid Life Cycle,D,敏捷实践指南，P30-混合型生命周期作为过渡策略。许多团队无法在一夜之间切换到敏捷工作方式。对于那些已经习惯于预测型环境、并在其中获得成功的人士，敏捷技术的观感截然不同。组织越大，活动部件越多，转换需要的时间就越长。因此，计划一个渐进的过渡是有意义的。渐进的过渡涉及到要增加更多的迭代技术，以便改进学习，加强团队和相关方的一致性。之后，还要考虑增加更多的增量技术，以加快对发起人的价值和投资回报。上述各种方法的组合被视为一种混合方法。题目中提及到：公司员工尚未完全做好适应的准备，这种时候比较适合使用混合型生命周期进行过渡。
"在项目执行阶段,供应商未能按时交付指定材料。这延迟了项目的活动。项目经理下一步应该做什么?During a project's execution phase,a vendor failed to deliver specified materials on time.This delayed a project's activity. What should the project manager do next?",审查采购管理计划和供应商合同 Review the procurement management plan and vendor contract.,与供应商一起讨论延期情况 Discuss the delay with the vendor.,解雇现有供应商并雇佣新供应商 Dismiss the present vendor and hire a new one.,向供应商提交索赔 Submit a claim for compensation to the vendor.,A,PMBOK(6)P496- 12.3.1.3 协议。供应商延迟了，是否采取索赔的具体的情况都在合同里写好了。 其他选项：BDC三个活动都在A的后面，看过合同以后再做进一步打算。
"一个项目刚刚完成，所有相关方都很满意，所有未解决问题均已关闭，且客户已批准结果。项目经理下一步应该怎么做？A project has just been completed, all project stakeholders are satisfied, all outstanding issue have been closed, and the customer has approved the result. What should the project manager do next?",解散项目团队 Release the team,庆祝项目结束 Celebrate project closure,通知项目发起人项目结束 Inform the sponsor of the project closure,记录经验教训 Document the lessons learned,D,PMBOK(6)4.7 结束项目或阶段 “客户已批准结果” 表示已经通过验收，下一步进入结束项目阶段，选项中按照先后顺序DBA， 答案选D。
"在一个大型施工项目的规划阶段，出现了潜在的经济衰退迹象。之前关于经济衰退的风险被指定为低概率和高影响，预计持续6-12个月。项目开始后不久，发生了经济衰退，并按预期影响项目。六个月后，经济衰退影响的持续时向将更改为24-36个月。项目经理应该怎么做？Signs of a potential economic recession were present during the planning stages of a large construction project. The risk of the recession was assigned as low probability and high impact，with an expected duration of 6-12 months.Soon after the project begins,the recession occurs and impacts the project as expected.After six months,the duration of the recession’s impact is changed to 24-36 months. What should the project manager do?","将项目工期延长24-36月 Extend the project duration by 24-36 months,",借用额外的运营资本 Borrow additional working capital.,更新风险登记册 Update the risk register,将项目工期延长12-24个月 Extend the project duration by 12-24 months.,C,PMBOK(6)P458- 11.7.3.4项目文件更新。风险的影响发生了变化，首先将这种变化纳入到风险登记册中，然后再考虑应对措施。 其他选项：ABD都直接给出应对措施，不一定有效。
"在新信息系统演示期间发生故障。在下一次状态会议上，项目经理发现两名团队成员以两种不同的方式独立解决该故障。若要预防任务重复，项目经理应该事先做什么？A malfunction occurs during a presentation of a new information system.At the next status meeting,the project manager discovers that the malfunction was resolved independently by two team members in two different ways. What should the project manager have done to prevent this duplication of tasks?",更新风险登记册 Updated the risk register,与团队成员开会，讨论解决方案 Met with team members to discuss a solution,将该问题记录在问题日志中 Documented the problem in the issue log,签发变更请求 Issued a change request,C,"PMBOK(6)P132-4.3.3.3 问题日志 两个团队成员分别用自己的方法处理同一个任务，说明这个问题并没有放入一个团队成员共享的解决问题的文件中去。为了“预防任务重复”，题目问”事先“ 怎么做，选项中最合适的做法是C,，记录问题到问题日志，明确解决问题的责任人，以避免重复，其他选项：题目问题的事先避免，因此BD排除掉，A，不是风险问题"
项目经理得知一次定期项目团队会议上的沟通渠道中断。项目经理应该做什么来确保所有项目团队成员都同样了解项目情况?A project manager knows that communication channels were disrupted a regular project team meeting. What should the project manager do to ensure that all project team members are equality informed?,重新计划一次具有适当沟通渠道的项目团队会议 Replan the project team meeting with proper communication channels.,在问题日志中添加该信息 Adds this information to the issue log.,向所有团队成员发送会议记录 Send the meeting minutes to all team members.,询问会议参与者的意见 Ask the participants for their input.,A,PMBOK(6)P386- 10.2.2.7 管理沟通 会议。题干中问道，要所有成员“同样了解”情况，再开一次是最好的。其他选项：B问题日志是一种记录和跟进所有问题的项目文件，在问题日志添加对解决题目的问题意义不大，C发送会议记录无法确保大家理解一致。D沟通渠道中断，原本会议就不完整再询问会上意见也没用
